title,source,published_utc,link,summary
OpenAI’s ‘embarrassing’ math,TechCrunch,2025-10-19 23:56:58,https://techcrunch.com/2025/10/19/openais-embarrassing-math/,"No, GPT-5 did not solve a bunch of previously unsolved math problems."
You need to read the epic Argentinian horror novel Our Share of Night,The Verge,2025-10-19 22:24:39,https://www.theverge.com/entertainment/802340/you-need-to-read-the-epic-argentinian-horror-novel-our-share-of-night,"I've read a lot of horror books over the last two years. But my absolute favorite is easily Mariana Enriquez' Our Share of Night. The book was originally published in 2019 in Argentina, but it only got an English translation in 2023. While it doesn't quite reach Stephen King lengths, at nearly 600 pages, I'd [&#8230;]"
March of the frogs,The Verge,2025-10-19 22:20:54,https://www.theverge.com/policy/802315/portland-no-kings-october-ice-protests-frog-antifa,"By the time I arrived, the waterfront park in downtown Portland, Oregon was already awash with people as far as the eye could see. The No Kings protest in June had turned out around 10,000 people across the city; this one saw several times that number just downtown, with thousands more choosing to join localized [&#8230;]"
TechCrunch Mobility: A takeover that might not be hostile,TechCrunch,2025-10-19 21:15:00,https://techcrunch.com/2025/10/19/techcrunch-mobility-a-takeover-that-might-not-be-hostile/,Welcome back to TechCrunch Mobility — your central hub for news and insights on the future of transportation.
The White House is already one of the most blocked accounts on Bluesky,TechCrunch,2025-10-19 20:41:55,https://techcrunch.com/2025/10/19/the-white-house-is-already-one-of-the-most-blocked-accounts-on-bluesky/,"The Trump administration is taking its social media attacks on Democratic opponents to an unlikely platform, with the White House and numerous other government agencies joining Bluesky on Friday."
"11 Best Housewarming Gifts We Can't Stop Using (2025): Coasters, Blenders, Sheets",WIRED,2025-10-19 20:03:00,https://www.wired.com/gallery/best-housewarming-gifts-for-any-new-home-2025/,"Make a house into a home with these gifts, whether your recipient is moving into their first house or a great new apartment."
Organizers say over 7 million showed up to No Kings protests,The Verge,2025-10-19 19:50:06,https://www.theverge.com/news/802321/organizers-say-over-7-million-showed-up-to-no-kings-protests,"Saturday marked the biggest day of protest since the start of Donald Trumps’ second term. Organizers of the No Kings protests estimated that over seven million people took to the streets to declare their opposition to the president, his policies, and his tactics. Indivisible, the group behind the protests, claims that there were over 2,700 [&#8230;]"
This weekend is your last chance to get a month of Disney Plus starting at $9.99,The Verge,2025-10-19 19:00:00,https://www.theverge.com/tech/801979/disney-plus-premium-october-price-hike-deal,"From Apple TV Plus to Peacock, a number of streaming services have recently increased their pricing — and Disney Plus is no exception. Starting on Tuesday, October 21st, the standalone plan with ads will jump from $9.99 to $11.99 a month, while the ad-free Premium tier will increase by $3 to $18.99 a month. The [&#8230;]"
The Sony Watchman was must-see TV,The Verge,2025-10-19 18:30:00,https://www.theverge.com/podcast/802307/sony-watchman-tv-version-history,"To understand the Sony Watchman, you have to go back. Way back. Back to when ""TV"" wasn't just a way to refer to any piece of content between 20 and 89 minutes, available on every screen everywhere for a few bucks a month. In 1982, when Sony first started selling its new device, ""TV"" was [&#8230;]"
Jona Health Review: Microbiome Decoder for Health Conditions,WIRED,2025-10-19 18:30:00,https://www.wired.com/review/jona-microbiome-test/,I’m really glad I took this mail-order medical-grade microbiome shotgun test to look for warning signs of health conditions.
Opera&#8217;s Neon shows just how confusing AI browsers still are,The Verge,2025-10-19 18:00:00,https://www.theverge.com/tech/801899/opera-neon-ai-browser-trial-run,"The trick to understanding Opera's Neon browser is recognizing that it's not just a browser with an AI bot added to it, but a browser with three AI bots all living side by side. This is both a strength and a weakness, because while you don't have to leave to do all the AI things [&#8230;]"
"14 Best USB Flash Drives (2025): Pen Drives, Thumb Drives, Memory Sticks",WIRED,2025-10-19 18:00:00,https://www.wired.com/gallery/best-usb-flash-drives/,These WIRED-tested memory sticks are a virtual filing cabinet in your pocket.
Time to catch ‘em all again,The Verge,2025-10-19 17:00:00,https://www.theverge.com/tech/801870/pokemon-legends-za-apple-m5-macbook-scorsese-installer,"Hi, friends! Welcome to Installer No. 102, your guide to the best and Verge-iest stuff in the world. (If you're new here, welcome, happy spooky season, and also you can read all the old editions at the Installer homepage.) This week, I've been reading about personal chefs and TikTok's algorithm and deep sea divers, tearing [&#8230;]"
The AI sexting era has arrived,The Verge,2025-10-19 17:00:00,https://www.theverge.com/column/802022/ai-sexting-openai-chatbot-chatgpt,"This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more on AI and the industry's power dynamics and societal implications, follow Hayden Field. The Stepback arrives in our subscribers' inboxes at 8AM ET. Opt in for The Stepback here. How it started Since ChatGPT became a household [&#8230;]"
"How to Protect Yourself Against Getting Locked Out of Google, Dropbox, iCloud, OneDrive",WIRED,2025-10-19 17:00:00,https://www.wired.com/story/how-to-protect-yourself-against-getting-locked-out-of-your-cloud-accounts/,"Cloud storage is speedy, convenient, and simple—until it stops working."
Experiential entertainment is having a gold rush but commercial success is far from certain,Technology | The Guardian,2025-10-19 16:00:15,https://www.theguardian.com/business/2025/oct/19/experiential-entertainment-is-having-a-gold-rush-but-commercial-success-is-far-from-certain,"<p>As an immersive Hunger Games show opens in London, producers turn to bankable franchises, with mixed results</p><p>When the first ever stage adaptation of the global book and film franchise The Hunger Games <a href=""https://www.theguardian.com/stage/2025/feb/27/hunger-games-stage-adaptation-new-london-theatre"">opens its doors in London next week</a>, fans paying up to £200 have been promised an “electrifying” and “immersive” experience.</p><p>The show at the purpose-built 1,200 seat Troubadour in Canary Wharf, which features Hollywood A-lister John Malkovich appearing via screen as the evil President Snow who oversees the televised spectacle of teenagers fighting to the death, is the latest in an explosion of launches looking to cash in on a boom in consumer demand for experiential entertainment, often linked to bankable franchises.</p> <a href=""https://www.theguardian.com/business/2025/oct/19/experiential-entertainment-is-having-a-gold-rush-but-commercial-success-is-far-from-certain"">Continue reading...</a>"
Das Keyboard DeltaForce 65 Review: A Keyboard With Odd Layout Choices,WIRED,2025-10-19 16:00:00,https://www.wired.com/review/das-keyboard-deltaforce-65/,"Das Keyboard finally modernizes its mechanical keyboard, but makes a few crucial missteps that ruin the experience."
Gemini in Google Home Keeps Mistaking My Dog for a Cat,WIRED,2025-10-19 15:30:00,https://www.wired.com/story/gemini-in-google-home-keeps-mistaking-my-dog-for-a-cat/,"Google’s Gemini AI has offended my dog, but at least it can automatically turn the lights on for me."
The Zipper Is Getting Its First Major Upgrade in 100 Years,WIRED,2025-10-19 15:00:00,https://www.wired.com/story/the-zipper-is-getting-its-first-major-upgrade-in-100-years/,"By stripping away the fabric tape that’s held zippers together for a hundred years, Japanese clothing giant YKK is designing the future of seamless clothing."
‘The wire began to smoke’: how to avoid counterfeit scams on Vinted and other resale sites,Technology | The Guardian,2025-10-19 11:00:08,https://www.theguardian.com/technology/2025/oct/19/how-to-avoid-counterfeit-scams-on-vinted-and-other-resale-sites,"<p>From scrutinising sellers’ profiles and reviews to secure payments, ensure you avoid buying a fake item</p><p>When Maheen found a brand-new Dyson Airwrap for the bargain price of £260 on the resale website Vinted, she was thrilled. The seller’s reviews were all five-star, and she trusted in the buyer-protection policy should something go wrong.</p><p>Sold new, an Airwrap costs between £400 and £480, but Maheen did not suspect anything was amiss. “I had used Vinted many times and it was simple and straightforward. Nothing had ever gone wrong,” she says.</p> <a href=""https://www.theguardian.com/technology/2025/oct/19/how-to-avoid-counterfeit-scams-on-vinted-and-other-resale-sites"">Continue reading...</a>"
